router,host,sim_time,created,started,relayed,aborted,dropped,removed,delivered,delivery_prob,response_prob,overhead_ratio,latency_avg,latency_med,hopcount_avg,hopcount_med,buffertime_avg,buffertime_med
2,175.0,273600.0,9269.0,127264.0,54200.0,73061.0,52785.0,0.0,8045.0,0.8679,0.0,5.7371,4689.1541,3679.6,2.5587,3.0,12688.4319,13030.4
2,199.0,360000.1,12198.0,172676.0,71578.0,101097.0,70241.0,0.0,10783.0,0.884,0.0,5.638,4873.6703,3837.4,2.581,3.0,13559.6662,14694.3
2,177.0,280800.0,9513.0,133009.0,55629.0,77380.0,54292.0,0.0,8215.0,0.8636,0.0,5.7716,4836.9188,3783.8,2.5654,3.0,12816.2401,13206.5
2,178.0,284400.0,9636.0,134814.0,56355.0,78458.0,55040.0,0.0,8346.0,0.8661,0.0,5.7523,4764.275,3685.0,2.5678,3.0,12817.9483,13259.2
2,179.0,288000.0,9758.0,136445.0,57050.0,79395.0,55764.0,0.0,8462.0,0.8672,0.0,5.7419,4846.9801,3779.8,2.5593,3.0,12828.4925,13256.3
2,177.0,280800.0,9513.0,133009.0,55629.0,77380.0,54292.0,0.0,8215.0,0.8636,0.0,5.7716,4836.9188,3783.8,2.5654,3.0,12816.2401,13206.5
2,179.0,288000.0,9758.0,136445.0,57050.0,79395.0,55764.0,0.0,8462.0,0.8672,0.0,5.7419,4846.9801,3779.8,2.5593,3.0,12828.4925,13256.3
2,178.0,284400.0,9636.0,134814.0,56355.0,78458.0,55040.0,0.0,8346.0,0.8661,0.0,5.7523,4764.275,3685.0,2.5678,3.0,12817.9483,13259.2
2,100.0,3600.1,120.0,1707.0,565.0,1141.0,9.0,0.0,30.0,0.25,0.0,17.8333,1423.56,1339.2,2.5667,3.0,2148.2778,2324.2
2,103.0,14400.0,489.0,7482.0,2627.0,4854.0,1194.0,0.0,259.0,0.5297,0.0,9.1429,2791.6571,2287.5,2.3514,2.0,5950.3471,5617.5
2,104.0,18000.0,609.0,9314.0,3310.0,6004.0,1859.0,0.0,361.0,0.5928,0.0,8.169,3319.9795,2642.4,2.5291,3.0,6798.5519,6446.4
2,105.0,21600.1,730.0,11118.0,3997.0,7120.0,2481.0,0.0,462.0,0.6329,0.0,7.6515,3361.1721,2855.6,2.4394,2.0,7357.7507,6885.8
2,105.0,21600.1,730.0,11118.0,3997.0,7120.0,2481.0,0.0,462.0,0.6329,0.0,7.6515,3361.1721,2855.6,2.4394,2.0,7357.7507,6885.8
2,106.0,25200.1,852.0,12563.0,4765.0,7796.0,3246.0,0.0,566.0,0.6643,0.0,7.4187,3421.8048,2751.0,2.5,2.0,7821.075,7232.7
2,114.0,54000.1,1828.0,26795.0,10365.0,16430.0,8955.0,0.0,1326.0,0.7254,0.0,6.8167,3963.232,3182.9,2.5769,3.0,9022.4786,8286.7
2,119.0,72000.1,2436.0,33601.0,13890.0,19710.0,12512.0,0.0,1824.0,0.7488,0.0,6.6151,4215.7419,3263.5,2.5641,3.0,9487.8953,8850.3
2,40.0,3600.1,120.0,1176.0,438.0,736.0,39.0,0.0,20.0,0.1667,0.0,20.9,1419.905,1498.7,2.3,2.0,2081.4974,2094.1
2,50.0,3600.1,120.0,1390.0,473.0,916.0,48.0,0.0,27.0,0.225,0.0,16.5185,1127.8519,991.5,2.2222,2.0,2022.4292,2055.9
2,60.0,3600.1,120.0,1652.0,549.0,1103.0,38.0,0.0,31.0,0.2583,0.0,16.7097,1344.0871,1271.9,2.5484,2.0,2020.0289,2141.6
2,70.0,3600.1,120.0,1616.0,518.0,1097.0,23.0,0.0,23.0,0.1917,0.0,21.5217,1405.3174,1267.5,2.4348,2.0,1824.0957,1867.1
2,80.0,3600.1,120.0,1773.0,555.0,1215.0,15.0,0.0,27.0,0.225,0.0,19.5556,1277.5704,986.1,2.5556,3.0,2063.0067,2048.7
2,90.0,3600.1,120.0,1780.0,561.0,1217.0,10.0,0.0,24.0,0.2,0.0,22.375,1080.7708,781.1,2.625,3.0,2357.04,2513.5
2,100.0,3600.1,120.0,1707.0,565.0,1141.0,9.0,0.0,30.0,0.25,0.0,17.8333,1423.56,1339.2,2.5667,3.0,2148.2778,2324.2
2,110.0,3600.1,120.0,1463.0,576.0,887.0,4.0,0.0,29.0,0.2417,0.0,18.8621,1237.1655,1247.4,2.3103,2.0,2362.55,2312.8
2,120.0,3600.1,120.0,1287.0,577.0,710.0,5.0,0.0,21.0,0.175,0.0,26.4762,1464.7905,1400.0,2.381,2.0,2362.06,2438.7
2,130.0,3600.1,120.0,1373.0,567.0,805.0,3.0,0.0,27.0,0.225,0.0,20.0,1132.2185,951.3,2.5556,3.0,2703.9,2648.0
2,140.0,3600.1,120.0,1500.0,582.0,917.0,1.0,0.0,35.0,0.2917,0.0,15.6286,1118.4914,972.6,2.8286,3.0,2655.7,2655.7
2,150.0,3600.1,120.0,1213.0,575.0,636.0,2.0,0.0,27.0,0.225,0.0,20.2963,1432.2926,1526.4,2.1111,2.0,2952.15,3154.7
2,160.0,3600.1,120.0,1358.0,580.0,776.0,1.0,0.0,22.0,0.1833,0.0,25.3636,1422.0318,1314.5,2.5455,3.0,2406.2,2406.2
2,170.0,3600.1,120.0,1260.0,588.0,671.0,2.0,0.0,26.0,0.2167,0.0,21.6154,1401.1885,1321.9,2.3077,2.0,2002.05,2272.8
2,180.0,3600.1,120.0,1445.0,593.0,852.0,0.0,0.0,29.0,0.2417,0.0,19.4483,1223.4207,1090.8,2.8966,3.0,0.0,0.0
2,190.0,3600.1,120.0,1642.0,596.0,1045.0,1.0,0.0,32.0,0.2667,0.0,17.625,1392.2281,1385.3,2.5625,3.0,1811.6,1811.6
2,200.0,3600.1,120.0,1645.0,585.0,1060.0,0.0,0.0,20.0,0.1667,0.0,28.25,1297.165,1369.1,2.6,3.0,0.0,0.0
2,210.0,3600.1,120.0,1306.0,586.0,720.0,1.0,0.0,24.0,0.2,0.0,23.4167,1201.8083,1192.9,2.7083,3.0,2692.0,2692.0
2,220.0,3600.1,120.0,1540.0,580.0,958.0,1.0,0.0,25.0,0.2083,0.0,22.2,1221.048,1458.9,2.04,2.0,2170.5,2170.5
2,230.0,3600.1,120.0,1445.0,597.0,847.0,0.0,0.0,21.0,0.175,0.0,27.4286,1414.0095,1436.3,2.5714,2.0,0.0,0.0
2,240.0,3600.1,120.0,1516.0,602.0,913.0,1.0,0.0,27.0,0.225,0.0,21.2963,1188.0111,905.5,2.4815,2.0,2899.3,2899.3
2,250.0,3600.1,120.0,1313.0,596.0,715.0,0.0,0.0,24.0,0.2,0.0,23.8333,1086.6208,936.7,2.5,2.0,0.0,0.0
2,260.0,3600.1,120.0,1449.0,602.0,846.0,0.0,0.0,31.0,0.2583,0.0,18.4194,924.4871,800.4,2.3226,2.0,0.0,0.0
2,270.0,3600.1,120.0,1518.0,604.0,912.0,5.0,0.0,30.0,0.25,0.0,19.1333,1025.3967,938.3,2.6,3.0,2013.54,1857.1
2,280.0,3600.1,120.0,1327.0,595.0,730.0,1.0,0.0,25.0,0.2083,0.0,22.8,1193.192,1177.3,2.52,3.0,2729.1,2729.1
2,290.0,3600.1,120.0,1625.0,591.0,1031.0,0.0,0.0,21.0,0.175,0.0,27.1429,1148.9,856.8,2.5238,2.0,0.0,0.0
2,300.0,3600.1,120.0,1358.0,593.0,765.0,0.0,0.0,29.0,0.2417,0.0,19.4483,998.6448,939.7,2.6552,3.0,0.0,0.0
2,310.0,3600.1,120.0,1451.0,583.0,868.0,0.0,0.0,25.0,0.2083,0.0,22.32,1187.932,1084.2,2.44,2.0,0.0,0.0
2,320.0,3600.1,120.0,1568.0,605.0,963.0,0.0,0.0,31.0,0.2583,0.0,18.5161,1094.2645,1064.7,2.5161,3.0,0.0,0.0
2,330.0,3600.1,120.0,1514.0,602.0,912.0,0.0,0.0,24.0,0.2,0.0,24.0833,1215.35,1146.3,2.5,3.0,0.0,0.0
2,340.0,3600.1,120.0,1334.0,608.0,725.0,0.0,0.0,31.0,0.2583,0.0,18.6129,1094.8226,952.0,2.7742,3.0,0.0,0.0
2,350.0,3600.1,120.0,1412.0,597.0,815.0,1.0,0.0,28.0,0.2333,0.0,20.3214,1080.5214,965.6,2.4643,2.0,1974.0,1974.0
2,360.0,3600.1,120.0,1409.0,600.0,808.0,0.0,0.0,31.0,0.2583,0.0,18.3548,1294.4419,1103.8,2.3548,2.0,0.0,0.0
2,370.0,3600.1,120.0,1513.0,606.0,904.0,0.0,0.0,29.0,0.2417,0.0,19.8966,1204.8069,1078.1,2.6897,3.0,0.0,0.0
2,380.0,3600.1,120.0,1280.0,602.0,678.0,0.0,0.0,28.0,0.2333,0.0,20.5,1209.2357,930.3,2.7143,3.0,0.0,0.0
2,390.0,3600.1,120.0,1498.0,610.0,886.0,0.0,0.0,32.0,0.2667,0.0,18.0625,1270.9812,1109.2,2.4063,2.0,0.0,0.0
2,400.0,3600.1,120.0,1266.0,595.0,671.0,0.0,0.0,23.0,0.1917,0.0,24.8696,884.7957,725.5,2.7391,3.0,0.0,0.0
2,410.0,3600.1,120.0,1381.0,608.0,772.0,0.0,0.0,31.0,0.2583,0.0,18.6129,1174.3032,861.3,2.3871,2.0,0.0,0.0
2,420.0,3600.1,120.0,1652.0,615.0,1037.0,0.0,0.0,26.0,0.2167,0.0,22.6538,1021.3962,1009.0,2.5769,3.0,0.0,0.0
2,430.0,3600.1,120.0,1610.0,611.0,998.0,0.0,0.0,28.0,0.2333,0.0,20.8214,887.25,775.6,2.5357,3.0,0.0,0.0
2,440.0,3600.1,120.0,1592.0,609.0,982.0,0.0,0.0,33.0,0.275,0.0,17.4545,1172.3455,933.8,2.6061,3.0,0.0,0.0
2,450.0,3600.1,120.0,1477.0,598.0,879.0,0.0,0.0,30.0,0.25,0.0,18.9333,1010.4833,950.3,2.2,2.0,0.0,0.0
2,460.0,3600.1,120.0,1447.0,608.0,838.0,0.0,0.0,29.0,0.2417,0.0,19.9655,918.4621,646.5,2.2069,2.0,0.0,0.0
2,470.0,3600.1,120.0,1487.0,601.0,886.0,0.0,0.0,23.0,0.1917,0.0,25.1304,1114.1087,739.1,2.4783,3.0,0.0,0.0
2,480.0,3600.1,120.0,1706.0,616.0,1088.0,0.0,0.0,29.0,0.2417,0.0,20.2414,1253.0379,1095.8,2.5862,3.0,0.0,0.0
2,490.0,3600.1,120.0,1404.0,618.0,785.0,0.0,0.0,30.0,0.25,0.0,19.6,1139.81,959.6,2.7667,3.0,0.0,0.0
2,500.0,3600.1,120.0,1262.0,601.0,660.0,0.0,0.0,19.0,0.1583,0.0,30.6316,862.4105,762.3,2.3684,2.0,0.0,0.0
2,40.0,7200.0,242.0,2948.0,1091.0,1854.0,550.0,0.0,69.0,0.2851,0.0,14.8116,1628.1681,1498.7,2.4203,2.0,2896.4784,2712.6
2,50.0,7200.0,242.0,3276.0,1155.0,2119.0,491.0,0.0,78.0,0.3223,0.0,13.8077,1888.3051,1864.4,2.1154,2.0,3044.5086,2900.1
2,60.0,7200.0,242.0,3865.0,1190.0,2673.0,408.0,0.0,93.0,0.3843,0.0,11.7957,1983.0548,1804.6,2.4516,2.0,3437.8206,3420.9
2,70.0,7200.0,242.0,3810.0,1195.0,2612.0,330.0,0.0,95.0,0.3926,0.0,11.5789,2025.9211,1813.1,2.3053,2.0,3571.6861,3485.3
2,80.0,7200.0,242.0,4008.0,1199.0,2808.0,260.0,0.0,88.0,0.3636,0.0,12.625,2021.1136,1785.4,2.5,3.0,3864.365,3952.9
2,90.0,7200.0,242.0,3958.0,1208.0,2750.0,223.0,0.0,92.0,0.3802,0.0,12.1304,2129.6011,1803.8,2.6739,3.0,3920.8386,3964.3
2,100.0,7200.0,242.0,3666.0,1238.0,2427.0,167.0,0.0,93.0,0.3843,0.0,12.3118,2137.9183,1985.1,2.4086,2.0,3899.0341,3895.0
2,110.0,7200.0,242.0,3275.0,1238.0,2037.0,127.0,0.0,94.0,0.3884,0.0,12.1702,1969.3064,1465.2,2.5213,2.0,4162.9134,4069.3
2,120.0,7200.0,242.0,2822.0,1250.0,1570.0,104.0,0.0,88.0,0.3636,0.0,13.2045,2106.4091,1821.5,2.4318,2.0,4148.9788,4201.9
2,130.0,7200.0,242.0,2928.0,1243.0,1684.0,93.0,0.0,92.0,0.3802,0.0,12.5109,2045.3228,1801.4,2.6957,3.0,4312.3065,4525.1
2,140.0,7200.0,242.0,3140.0,1261.0,1877.0,81.0,0.0,93.0,0.3843,0.0,12.5591,1993.3559,1863.2,2.7527,3.0,4331.9383,4380.0
2,150.0,7200.0,242.0,2739.0,1265.0,1474.0,50.0,0.0,94.0,0.3884,0.0,12.4574,2339.3564,2113.3,2.4787,2.0,4504.246,4607.2
2,160.0,7200.0,242.0,3134.0,1251.0,1881.0,52.0,0.0,82.0,0.3388,0.0,14.2561,2236.2805,2125.9,2.4268,3.0,4578.6846,4764.4
2,170.0,7200.0,242.0,2766.0,1256.0,1510.0,56.0,0.0,90.0,0.3719,0.0,12.9556,2008.1511,1845.7,2.3667,2.0,4068.2786,4191.7
2,180.0,7200.0,242.0,3139.0,1271.0,1866.0,57.0,0.0,100.0,0.4132,0.0,11.71,2138.022,1846.7,2.56,2.0,4149.8316,4163.0
2,190.0,7200.0,242.0,3193.0,1278.0,1915.0,37.0,0.0,90.0,0.3719,0.0,13.2,2077.31,1908.2,2.5444,2.0,4638.0216,4643.9
2,200.0,7200.0,242.0,3394.0,1270.0,2124.0,22.0,0.0,103.0,0.4256,0.0,11.3301,2182.2233,1836.7,2.7184,3.0,4843.0136,5013.9
2,210.0,7200.0,242.0,2856.0,1247.0,1608.0,22.0,0.0,80.0,0.3306,0.0,14.5875,2216.545,1739.6,2.525,2.0,4757.2864,5183.4
2,220.0,7200.0,242.0,3263.0,1268.0,1993.0,31.0,0.0,91.0,0.376,0.0,12.9341,2121.0154,1801.0,2.3736,2.0,4428.6871,4291.0
2,230.0,7200.0,242.0,3025.0,1271.0,1752.0,26.0,0.0,88.0,0.3636,0.0,13.4432,2271.2489,1876.2,2.5795,3.0,4490.1038,4994.1
2,240.0,7200.0,242.0,3203.0,1285.0,1917.0,33.0,0.0,104.0,0.4298,0.0,11.3558,2014.5058,1874.1,2.5192,3.0,4208.5818,4167.1
2,250.0,7200.0,242.0,2886.0,1288.0,1598.0,18.0,0.0,110.0,0.4545,0.0,10.7091,2230.7391,1991.6,2.4818,2.0,4654.4889,4865.0
2,260.0,7200.0,242.0,3018.0,1254.0,1762.0,23.0,0.0,87.0,0.3595,0.0,13.4138,2114.0736,1843.2,2.3793,2.0,4589.6609,4842.0
2,270.0,7200.0,242.0,3228.0,1278.0,1949.0,21.0,0.0,91.0,0.376,0.0,13.044,1942.433,1472.0,2.6044,3.0,3951.8905,3718.0
2,280.0,7200.0,242.0,2773.0,1259.0,1513.0,12.0,0.0,92.0,0.3802,0.0,12.6848,2126.2043,1655.9,2.6304,3.0,4596.5333,4884.0
2,290.0,7200.0,242.0,3291.0,1278.0,2012.0,13.0,0.0,98.0,0.405,0.0,12.0408,2140.8337,1900.0,2.4898,2.0,4546.1385,4709.0
2,300.0,7200.0,242.0,2879.0,1280.0,1599.0,13.0,0.0,104.0,0.4298,0.0,11.3077,2025.6519,1674.3,2.4904,3.0,4690.4692,4884.0
2,310.0,7200.0,242.0,3015.0,1282.0,1730.0,13.0,0.0,95.0,0.3926,0.0,12.4947,2289.5179,1829.1,2.4947,2.0,4576.1769,4833.7
2,320.0,7200.0,242.0,3167.0,1288.0,1877.0,16.0,0.0,101.0,0.4174,0.0,11.7525,1936.4238,1491.8,2.4653,2.0,4558.6688,4367.6
2,330.0,7200.0,242.0,3107.0,1273.0,1834.0,16.0,0.0,92.0,0.3802,0.0,12.837,1958.4207,1755.7,2.6196,3.0,4380.8813,4729.0
2,340.0,7200.0,242.0,2984.0,1275.0,1709.0,9.0,0.0,100.0,0.4132,0.0,11.75,2176.611,1806.5,2.63,3.0,4753.8778,4752.1
2,350.0,7200.0,242.0,2871.0,1290.0,1581.0,10.0,0.0,103.0,0.4256,0.0,11.5243,1864.9427,1684.6,2.4951,2.0,4568.28,4656.4
2,360.0,7200.0,242.0,3305.0,1286.0,2018.0,7.0,0.0,89.0,0.3678,0.0,13.4494,2036.4596,1660.4,2.618,3.0,4763.8857,5349.0
2,370.0,7200.0,242.0,3184.0,1288.0,1895.0,11.0,0.0,98.0,0.405,0.0,12.1429,2027.252,1871.6,2.6224,2.0,4279.9,3994.3
2,380.0,7200.0,242.0,2882.0,1284.0,1597.0,10.0,0.0,92.0,0.3802,0.0,12.9565,2018.6489,1823.5,2.5652,2.0,4600.98,5238.6
2,390.0,7200.0,242.0,3150.0,1286.0,1864.0,8.0,0.0,103.0,0.4256,0.0,11.4854,2050.7107,1778.8,2.6505,3.0,4368.3375,5294.0
2,400.0,7200.0,242.0,2849.0,1286.0,1561.0,14.0,0.0,99.0,0.4091,0.0,11.9899,2124.3273,1819.1,2.4242,2.0,4727.2429,4884.0
2,410.0,7200.0,242.0,2995.0,1271.0,1722.0,5.0,0.0,86.0,0.3554,0.0,13.7791,2067.9977,1855.2,2.4884,2.0,3784.24,3630.9
2,420.0,7200.0,242.0,3323.0,1274.0,2046.0,8.0,0.0,87.0,0.3595,0.0,13.6437,2240.0011,1836.4,2.6667,3.0,4627.2125,4884.0
2,430.0,7200.0,242.0,3106.0,1288.0,1817.0,5.0,0.0,100.0,0.4132,0.0,11.88,1857.289,1393.4,2.52,3.0,4380.1,4484.0
2,440.0,7200.0,242.0,3034.0,1295.0,1739.0,5.0,0.0,99.0,0.4091,0.0,12.0808,2177.8343,1902.4,2.5354,2.0,5001.34,5280.3
2,450.0,7200.0,242.0,3249.0,1291.0,1957.0,7.0,0.0,94.0,0.3884,0.0,12.734,2363.6745,1970.2,2.4574,2.0,3238.6,3288.1
2,460.0,7200.0,242.0,3009.0,1287.0,1722.0,7.0,0.0,87.0,0.3595,0.0,13.7931,1936.3345,1667.0,2.4368,2.0,4432.7429,4226.0
2,470.0,7200.0,242.0,3141.0,1285.0,1855.0,7.0,0.0,94.0,0.3884,0.0,12.6702,2178.8532,1942.5,2.5851,3.0,3822.2429,3388.0
2,480.0,7200.0,242.0,3318.0,1294.0,2023.0,8.0,0.0,95.0,0.3926,0.0,12.6211,2169.1137,1927.8,2.6842,3.0,5057.5875,5210.0
2,490.0,7200.0,242.0,2853.0,1289.0,1562.0,7.0,0.0,95.0,0.3926,0.0,12.5684,2011.5968,1672.8,2.5789,3.0,4118.2429,4361.5
2,500.0,7200.0,242.0,2791.0,1287.0,1503.0,3.0,0.0,93.0,0.3843,0.0,12.8387,2088.3538,1671.2,2.4516,2.0,4414.6333,4884.0
2,40.0,10800.0,366.0,4733.0,1747.0,2986.0,1214.0,0.0,126.0,0.3443,0.0,12.8651,2257.719,1926.9,2.381,2.0,3117.1226,2956.4
2,50.0,10800.0,366.0,5105.0,1835.0,3269.0,1159.0,0.0,142.0,0.388,0.0,11.9225,2238.588,2019.3,2.2676,2.0,3574.0421,3456.0
2,60.0,10800.0,366.0,6092.0,1913.0,4176.0,1082.0,0.0,168.0,0.459,0.0,10.3869,2187.2387,1923.9,2.4286,2.0,4064.0646,3875.1
2,70.0,10800.0,366.0,5921.0,1895.0,4026.0,922.0,0.0,171.0,0.4672,0.0,10.0819,2525.8515,2119.7,2.3333,2.0,4459.1696,4248.5
2,80.0,10800.0,366.0,6102.0,1924.0,4178.0,803.0,0.0,177.0,0.4836,0.0,9.8701,2783.2469,2425.0,2.5311,3.0,4769.5757,4698.3
2,90.0,10800.0,366.0,5937.0,1916.0,4018.0,709.0,0.0,168.0,0.459,0.0,10.4048,2445.4119,2036.4,2.5298,2.0,4904.902,4727.7
2,100.0,10800.0,366.0,5586.0,1957.0,3626.0,605.0,0.0,188.0,0.5137,0.0,9.4096,2565.2729,2191.7,2.4362,2.0,5329.8835,5222.6
2,110.0,10800.0,366.0,5086.0,1933.0,3152.0,507.0,0.0,169.0,0.4617,0.0,10.4379,2502.3692,1917.9,2.5858,3.0,5611.7085,5594.5
2,120.0,10800.0,366.0,4501.0,1950.0,2551.0,420.0,0.0,175.0,0.4781,0.0,10.1429,2891.4103,2399.0,2.4686,2.0,5710.5586,5705.1
2,130.0,10800.0,366.0,4505.0,1951.0,2554.0,384.0,0.0,176.0,0.4809,0.0,10.0852,2664.6966,2294.1,2.6193,3.0,5877.1081,5792.4
2,140.0,10800.0,366.0,4814.0,1953.0,2861.0,312.0,0.0,181.0,0.4945,0.0,9.7901,2789.4309,2409.9,2.6243,3.0,5794.7763,5772.5
2,150.0,10800.0,366.0,4364.0,1968.0,2394.0,291.0,0.0,187.0,0.5109,0.0,9.5241,2975.6802,2748.2,2.4599,2.0,5867.4911,5898.6
2,160.0,10800.0,366.0,4862.0,1945.0,2916.0,262.0,0.0,172.0,0.4699,0.0,10.3081,2986.2221,2596.4,2.5523,3.0,5998.3378,6000.7
2,170.0,10800.0,366.0,4580.0,1951.0,2628.0,240.0,0.0,167.0,0.4563,0.0,10.6826,3013.9689,2500.1,2.4132,2.0,6227.6267,6253.1
2,180.0,10800.0,366.0,4798.0,1964.0,2831.0,225.0,0.0,180.0,0.4918,0.0,9.9111,2642.3006,2125.4,2.5944,3.0,5669.5089,5744.2
2,190.0,10800.0,366.0,5028.0,1988.0,3039.0,198.0,0.0,181.0,0.4945,0.0,9.9834,2984.3901,2411.1,2.5635,3.0,6221.9687,6301.3
2,200.0,10800.0,366.0,5099.0,1973.0,3125.0,152.0,0.0,179.0,0.4891,0.0,10.0223,2692.9642,2283.3,2.6536,3.0,6401.5961,6219.2
2,210.0,10800.0,366.0,4526.0,1974.0,2551.0,145.0,0.0,172.0,0.4699,0.0,10.4767,2915.1,2451.4,2.5872,3.0,6666.5186,6696.7
2,220.0,10800.0,366.0,5105.0,1977.0,3128.0,135.0,0.0,177.0,0.4836,0.0,10.1695,2825.3418,2358.7,2.4237,2.0,6103.6163,6045.5
2,230.0,10800.0,366.0,4858.0,1988.0,2868.0,115.0,0.0,183.0,0.5,0.0,9.8634,3031.7393,2495.0,2.5628,3.0,6339.0887,6484.0
2,240.0,10800.0,366.0,4949.0,1987.0,2962.0,116.0,0.0,189.0,0.5164,0.0,9.5132,2718.5921,2302.8,2.6296,3.0,6334.6974,6470.7
2,250.0,10800.0,366.0,4518.0,1984.0,2533.0,104.0,0.0,191.0,0.5219,0.0,9.3874,2599.9592,2357.7,2.534,2.0,6554.9856,6583.5
2,260.0,10800.0,366.0,4716.0,1970.0,2744.0,112.0,0.0,180.0,0.4918,0.0,9.9444,2793.1211,2247.5,2.4833,2.0,6101.675,6170.6
2,270.0,10800.0,366.0,4898.0,2003.0,2895.0,84.0,0.0,194.0,0.5301,0.0,9.3247,2669.4186,2214.7,2.5567,3.0,6065.4107,6335.0
2,280.0,10800.0,366.0,4365.0,1992.0,2372.0,98.0,0.0,185.0,0.5055,0.0,9.7676,2821.1157,2174.1,2.5784,3.0,6382.6286,6811.7
2,290.0,10800.0,366.0,5066.0,1992.0,3071.0,88.0,0.0,193.0,0.5273,0.0,9.3212,2779.3865,2346.4,2.5596,3.0,6293.0943,6699.0
2,300.0,10800.0,366.0,4658.0,1994.0,2664.0,97.0,0.0,194.0,0.5301,0.0,9.2784,2514.2021,2068.9,2.5,2.0,6556.4546,6514.2
2,310.0,10800.0,366.0,4812.0,1988.0,2823.0,100.0,0.0,184.0,0.5027,0.0,9.8043,2864.5049,2575.0,2.4946,2.0,6762.345,6830.3
